"system_id","downloads_count","coverage_status","canon_anchor"
"hd","90","abgedeckt","Ra Uru Hu + HD-Schulen (K2/K3)"
"genekeys","14","abgedeckt","Rudd Kernwerke Golden Path (K3)"
"i_ching","8","abgedeckt","Wilhelm/Baynes, Legge, Shaughnessy (K2_ref)"
"kabbalah_jewish","24","abgedeckt","Sefer Yetzirah/Kaplan (K2_ref)"
"kabbalah_hermetic","0","fehlt","Fortune/Regardie (K3)"
"chakra","11","abgedeckt","Serpent Power + Wheels of Life"
"pancha_bhuta","6","abgedeckt","Samkhya, Caraka, Sushruta"
"wu_xing","4","abgedeckt","Neijing + Kaptchuk"
"western_elements","3","abgedeckt","Antike Elemente + Astro-Anker"
"jyotish","4","abgedeckt","Parashara/Brihat-Jataka-Linie"
"bazi","29","abgedeckt","Schulanker"
"ziwei","0","fehlt","Schulanker"
"astro","6","abgedeckt","Referenzlinie"
"mayan_tzolkin","0","fehlt","GMT/Kin"
"nine_star_ki","0","fehlt","Standardlinie"
"numerology","0","fehlt","Grundwerke"
"akan","0","fehlt","Grundquellen"
"enneagram","0","fehlt","Naranjo/Palmer/Hudson"
