system_class,system,element,element_id,level_tags,level_label,ux_phases,kg_layer,dynamic_type,human_review,notes,level_count,earliest_ux_phase,latest_ux_phase
A,BaZi,Day Master,bazi.day_master,[4],Disposition,[1],B,spectrum,optional,"Kern-Charakter, primäre Energiequelle; Einstiegspunkt Phase 1",1,1,1
A,BaZi,Jahrespfeiler / Monatspfeiler,bazi.annual_pillar,[1],Oberfläche / Verhalten,"[1, 3]",A,phase_cycle,optional,"Timing, sichtbares Verhalten im Jahr; astronomische Dynamik",1,1,3
A,BaZi,Element-Konstitution (5 Elemente),bazi.element_constitution,[3],Körper / Konstitution,"[2, 3]",B,spectrum,optional,Elementare Gesundheit und Körperlichkeit; Brücke TCM,1,2,3
A,BaZi,Clashing Pillars,bazi.clashing_pillars,[5],Psychodynamik,"[2, 3, 5]",C,trap,required,"Konfliktmuster, innere Spannungen; Hypothesen-Sprache",1,2,5
A,BaZi,Fehlende Elemente,bazi.missing_elements,"[4, 5]",Disposition + Psychodynamik,"[3, 4]",C,trap,required,"Blind Spots, Entwicklungsfelder; Überschneidung offene HD-Zentren",2,3,4
A,BaZi,Luck Pillars (10-Jahres-Zyklen),bazi.luck_pillars,[4],Disposition (zeitlich),"[3, 4, 5]",C,phase_cycle,optional,Biographische Dynamik; Zeitband-Visualisierung; Lebensabschnitte,1,3,5
A,BaZi,Nützliche Götter (Yong Shen),bazi.useful_gods,[7],Transzendent / Seelenpfad,"[6, 7]",D,growth_path,required,Idealer Entwicklungspfad; Experten-Ebene; Hypothesen-Sprache,1,6,7
A,Human Design,Typ (MG/G/M/P/R),hd.type,[4],Disposition,[1],B,spectrum,optional,Energie-Strategie; primärer Einstiegspunkt Phase 1,1,1,1
A,Human Design,Autorität,hd.authority,[4],Disposition,"[1, 2]",B,spectrum,optional,Entscheidungsmodus; eng verknüpft mit Typ,1,1,2
A,Human Design,Profil (Linie),hd.profile,"[4, 7]",Disposition + Transzendent,"[2, 7]",B,spectrum,optional,Rolle (4) + Lebensthema / Dharma-Aspekt (7),2,2,7
A,Human Design,Gates & Kanäle (bewusst/unbewusst),hd.gates_channels,[4],Disposition,"[2, 3]",B,spectrum,optional,Kern-Charakteristik; berechnet aus Geburts- und Design-Moment,1,2,3
A,Human Design,Definierte Zentren,hd.defined_centers,[4],Disposition,"[2, 3]",B,spectrum,optional,"Stabile, konsistente Charaktereigenschaften",1,2,3
A,Human Design,Offene Zentren,hd.open_centers,"[3, 5]",Körper/Konstitution + Psychodynamik,"[3, 4, 5]",C,trap,required,Konditionierungsort körperlich (3) UND psychodynamisch (5); Schlüssel für Nicht-Selbst-Thema,2,3,5
A,Human Design,PHS / Variables,hd.phs,[3],Körper / Konstitution,"[3, 4]",B,spectrum,optional,Ernährungs- und Wahrnehmungsstrategie; körpernahe Ebene,1,3,4
A,Human Design,Nicht-Selbst-Thema,hd.not_self_theme,[5],Psychodynamik,"[4, 5]",C,trap,required,Konditionierungsmuster im Alltag; Warnsignal-Sprache nötig,1,4,5
A,Human Design,Inkarnationskreuz,hd.incarnation_cross,[7],Transzendent / Seelenpfad,"[6, 7]",D,growth_path,required,Höchste Ausdrucksebene; nur in späten Phasen zugänglich machen,1,6,7
A,Maya / Tzolkin,Kin (Sonnensiegel + Ton),maya.kin,[4],Disposition,[1],B,spectrum,optional,Kern-Signatur; Einstiegspunkt Phase 1; kulturell zugänglich,1,1,1
A,Maya / Tzolkin,Sonnensiegel (Solar Seal),maya.solar_seal,[4],Disposition,"[1, 2]",B,spectrum,optional,Archetypische Rolle / Energie-Qualität,1,1,2
A,Maya / Tzolkin,Galaktischer Ton,maya.galactic_tone,"[4, 6]",Disposition + Bewusstsein,"[2, 6]",B,spectrum,optional,Energie-Frequenz und Bewusstseinsqualität,2,2,6
A,Maya / Tzolkin,Wellenzauber (Wavespell),maya.wavespell,"[4, 6]",Disposition + Bewusstsein,"[3, 6]",C,phase_cycle,optional,13-tägiger Zyklus; Prozessdynamik,2,3,6
